epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.461,1.04162,4.60535,1.16695,0,0,0,0,0,13.1263,0,0,0,0
2,4.7626,0.79259,3.96247,1.03187,0,0,0,0,0,13.1326,0,1.802e-05,1.802e-05,1.802e-05
3,7.17461,0.88757,4.31795,0.99405,0,0,0,0,0,13.1387,0,3.208e-05,3.208e-05,3.208e-05
4,9.76252,0.95017,4.21659,1.03356,0,0,0,0,0,13.1441,0,4.218e-05,4.218e-05,4.218e-05
5,12.1523,0.99153,4.36613,1.18906,0,0,0,0,0,13.1496,0,4.832e-05,4.832e-05,4.832e-05
6,14.364,0.85582,3.94268,0.98892,0,0,0,0,0,13.1554,0,5.05e-05,5.05e-05,5.05e-05
7,16.5438,0.91981,4.38829,0.93034,0,0,0,0,0,13.1613,0,4.872e-05,4.872e-05,4.872e-05
8,18.7443,0.79365,3.95762,0.94065,0,0,0,0,0,13.168,0,4.298e-05,4.298e-05,4.298e-05
9,20.9293,0.63566,3.35495,0.79751,0,0,0,0,0,13.175,0,3.328e-05,3.328e-05,3.328e-05
10,23.1259,0.90578,3.13289,1.03986,0,0,0,0,0,13.1782,0,1.962e-05,1.962e-05,1.962e-05
1,2.18446,0.95386,5.06195,1.20116,0.00167,1,0.33167,0.21558,0.54936,3.88746,0.98564,0,0,0
2,4.42574,0.9752,4.49995,1.09447,0.00167,1,0.33167,0.16583,0.57312,3.83863,0.99691,1.802e-05,1.802e-05,1.802e-05
3,6.62394,0.9598,4.47022,0.9439,0.00167,1,0.33167,0.16583,0.57868,3.84515,0.99492,3.208e-05,3.208e-05,3.208e-05
4,8.90682,1.00773,4.59314,1.04525,0.00167,1,0.33167,0.199,0.56447,3.85967,0.98931,4.218e-05,4.218e-05,4.218e-05
5,11.0976,0.88826,4.35866,1.10492,0.00167,1,0.199,0.1791,0.5615,3.89759,0.98833,4.832e-05,4.832e-05,4.832e-05
6,13.3832,0.77835,3.98261,0.85333,0.00167,1,0.24875,0.22387,0.52181,3.87903,0.97646,5.05e-05,5.05e-05,5.05e-05
7,15.5324,1.07551,4.24298,0.93802,0.00167,1,0.33167,0.2985,0.49996,3.84806,0.9647,4.872e-05,4.872e-05,4.872e-05
8,17.7845,0.86604,4.1398,0.92007,0.00167,1,0.995,0.8955,0.47106,3.85117,0.95348,4.298e-05,4.298e-05,4.298e-05
9,19.9717,0.47143,3.41354,0.81932,0.00167,1,0.995,0.8955,0.46622,3.84621,0.94927,3.328e-05,3.328e-05,3.328e-05
10,22.1625,0.78881,3.3478,0.92047,0.00167,1,0.995,0.8955,0.47701,3.83725,0.95138,1.962e-05,1.962e-05,1.962e-05
1,4.40468,1.43188,5.39859,1.04225,0,0,0,0,0.13841,4.52565,0.78337,0,0,0
